modelo,tecnica,dispositivo,corrida,geomean_ms,log_geomean_ms
MobileNetV2,Poda,RPi-CPU,4,11.17384,2.413575
MobileNetV2,Poda,RPi-CPU,5,11.09232,2.406253
MobileNetV2,Poda,RPi-CPU,6,11.82644,2.470337
MobileNetV2,Poda,RPi-CPU,7,11.10037,2.406978
MobileNetV2,Poda,RPi-CPU,8,12.47521,2.523743
MobileNetV2,Poda,RPi-CPU,9,10.95480,2.393777
MobileNetV2,Poda,RPi-CPU,10,11.12811,2.409474
ResNet-50,INT8,RPi-CPU,1,80.96479,4.394014
ResNet-50,INT8,RPi-CPU,2,90.67434,4.507274
ResNet-50,INT8,RPi-CPU,3,73.28246,4.294321
ResNet-50,INT8,RPi-CPU,4,75.18924,4.320008
ResNet-50,INT8,RPi-CPU,5,73.64046,4.299195
ResNet-50,V0,RPi-CPU,1,154.31465,5.038994
ResNet-50,V0,RPi-CPU,2,145.22294,4.978270
ResNet-50,V0,RPi-CPU,3,149.05717,5.004330
ResNet-50,V0,RPi-CPU,4,152.82669,5.029305
ResNet-50,V0,RPi-CPU,5,153.81099,5.035724
ResNet-50,V0,RPi-CPU,6,151.97054,5.023687
ResNet-50,V0,RPi-CPU,7,145.90946,4.982986
ResNet-50,V0,RPi-CPU,8,153.39509,5.033017
ResNet-50,V0,RPi-CPU,9,155.43497,5.046227
ResNet-50,V0,RPi-CPU,10,152.76322,5.028889
ResNet-50,Poda,RPi-CPU,1,64.80167,4.171331
ResNet-50,Poda,RPi-CPU,2,63.60054,4.152622
ResNet-50,Poda,RPi-CPU,3,61.89291,4.125406
ResNet-50,Poda,RPi-CPU,4,61.53265,4.119568
ResNet-50,Poda,RPi-CPU,5,63.88991,4.157161
